Group,P_id,age,gender,familiarity
Group1,1,67,male,5
Group1,2,67,male,2
Group1,3,37,female,2
Group1,4,25,female,1
Group1,5,59,female,2
Group1,6,25,male,1
Group1,7,36,male,2
Group1,8,28,female,3
Group1,9,30,female,3
Group1,10,31,male,3
Group1,11,25,female,1
Group1,12,39,male,2
Group2,13,71,female,5
Group2,14,69,male,2
Group2,15,65,male,2
Group2,16,54,female,2
Group2,17,50,female,2
Group2,18,45,female,1
Group2,19,34,male,3
Group2,20,56,female,4
Group2,21,64,female,2
Group2,22,50,male,1
Group2,23,25,female,3
Group2,24,25,male,2
Group2,25,25,male,5
