Group,P_id,EST_DR1,EST_DR2,EST_DR3,EST_DR4
Group1,1,0,70,270,0
Group1,2,0,80,270,0
Group1,3,0,45,295,15
Group1,4,0,65,300,0
Group1,5,0,25,320,0
Group1,6,0,30,320,0
Group1,7,0,30,330,0
Group1,8,0,30,300,0
Group1,9,0,35,310,0
Group1,10,0,35,300,0
Group1,11,0,35,300,0
Group1,12,0,40,305,0
Group2,13,0,50,290,0
Group2,14,5,15,270,0
Group2,15,0,40,270,0
Group2,16,0,25,315,0
Group2,17,0,20,320,0
Group2,18,0,330,290,10
Group2,19,0,25,320,15
Group2,20,0,30,320,0
Group2,21,0,30,300,0
Group2,22,0,40,320,0
Group2,23,0,35,320,0
Group2,24,0,40,305,0
Group2,25,0,45,305,0
